ID	|T|	T	|V'|
T14.40	14	1,5,8,9,10,12,14,17,18,19,20,24,25,26	928
T14.41	14	1,2,3,4,6,7,10,12,17,19,20,24,25,26	717
T14.42	14	0,6,7,8,9,10,14,16,17,20,22,23,24,25	913
T14.43	14	0,3,6,7,8,9,13,15,16,18,19,20,22,26	900
T14.44	14	0,3,6,7,10,11,12,15,18,19,21,22,25,26	758
T14.45	14	1,4,6,9,12,13,14,15,16,18,19,21,22,26	747
T14.46	14	0,1,2,3,4,6,7,8,12,17,20,21,22,26	843
T14.47	14	0,2,5,8,9,10,11,12,13,17,19,20,22,26	905
T14.48	14	0,1,3,5,7,10,11,14,15,17,19,20,21,25	858
T14.49	14	1,2,4,5,6,9,13,16,17,18,21,24,25,26	850
T14.50	14	0,1,2,4,7,10,11,12,13,18,20,22,24,25	622
T14.51	14	2,4,5,7,9,11,13,14,16,17,20,21,22,25	858
T14.52	14	1,5,6,7,8,9,10,11,13,20,21,22,24,25	958
T14.53	14	0,1,2,3,5,6,8,10,12,17,19,20,23,26	923
T14.54	14	2,3,4,5,6,9,11,13,14,17,18,21,22,23	896
T14.55	14	0,1,2,3,6,7,10,11,12,16,19,20,25,26	749
T14.56	14	0,2,4,9,10,11,12,18,19,20,21,23,25,26	733
T14.57	14	2,6,8,10,15,17,18,19,21,22,23,24,25,26	817
T14.58	14	0,1,2,5,7,8,9,11,12,14,19,21,24,26	962
T14.59	14	3,4,6,9,10,12,13,14,15,16,17,20,23,26	732
T14.60	14	2,7,8,9,11,12,14,15,16,17,19,20,22,23	906
T14.61	14	0,1,2,4,5,6,11,12,13,17,21,23,24,26	816
T14.62	14	2,3,5,6,7,8,9,11,12,13,18,21,23,25	1000
T14.63	14	0,3,5,9,10,11,13,14,16,17,19,20,25,26	834
T14.64	14	0,2,3,4,5,8,9,12,17,18,20,22,23,25	963
T14.65	14	0,1,5,6,7,8,13,15,18,19,20,22,24,25	941
T14.66	14	0,1,3,4,8,10,13,14,16,17,21,22,23,26	822
T14.67	14	2,3,4,5,8,11,14,17,18,19,22,23,24,26	952
T14.68	14	0,1,2,3,7,9,12,16,17,18,21,22,23,26	735
T14.69	14	0,1,3,4,6,7,9,10,12,13,17,18,23,26	781
T14.70	14	0,1,4,5,6,7,10,13,14,16,17,19,21,23	873
T14.71	14	1,5,6,7,12,13,14,15,18,19,21,22,23,25	874
T14.72	14	0,1,4,9,10,12,15,16,19,20,21,24,25,26	649
T14.73	14	0,1,4,5,10,11,13,14,15,18,19,21,25,26	803
T14.74	14	0,1,3,4,6,7,8,9,10,11,17,21,22,24	897
T14.75	14	0,3,4,7,9,10,11,12,13,17,19,20,21,22	744
T14.76	14	1,2,3,6,9,10,11,12,17,18,19,21,22,24	777
T14.77	14	0,2,3,5,8,10,11,12,14,15,17,18,19,26	934
T14.78	14	0,1,5,6,7,9,10,11,13,15,16,22,23,26	890
T14.79	14	2,9,11,12,14,15,16,17,18,21,22,24,25,26	665
T14.80	14	1,2,3,4,7,10,11,12,13,14,15,19,21,23	697
T14.81	14	1,3,6,7,8,9,10,11,12,16,19,23,24,25	917
T14.82	14	0,1,3,4,7,10,15,16,20,21,22,23,24,26	634
T14.83	14	0,2,4,6,9,12,13,14,17,18,19,21,22,26	781
T14.84	14	0,3,4,6,7,8,13,14,15,18,19,22,25,26	882
T14.85	14	1,4,6,9,11,12,15,17,18,19,22,24,25,26	725
T14.86	14	1,5,6,7,8,10,12,14,17,18,19,20,24,25	946
T14.87	14	0,1,3,4,7,9,12,13,14,16,19,20,25,26	752
T14.88	14	0,2,4,5,9,11,13,15,16,17,18,20,24,26	844
T14.89	14	1,2,6,7,10,11,12,13,14,15,17,23,25,26	675
T14.90	14	2,4,5,6,7,9,11,13,17,19,21,22,25,26	904
T14.91	14	0,1,3,4,5,10,14,15,17,19,20,22,23,24	839
T14.92	14	1,3,4,6,8,11,13,14,16,17,18,20,23,24	875
T14.93	14	0,1,3,4,5,7,11,13,14,19,22,23,24,26	889
T14.94	14	1,2,3,5,7,8,11,14,15,16,19,21,23,24	965
T14.95	14	0,2,3,5,8,9,14,15,17,18,21,23,24,26	961
T14.96	14	3,7,8,9,10,13,15,16,17,19,20,22,24,25	858
T14.97	14	0,1,2,4,5,7,12,14,18,19,20,22,23,26	878
T14.98	14	1,2,5,6,8,10,12,13,14,16,18,19,21,24	910
T14.99	14	0,3,4,6,7,9,10,14,18,19,21,22,25,26	823
T14.100	14	1,2,5,8,9,10,12,17,18,19,20,21,25,26	913
T16.1	16	0,1,4,5,9,10,11,12,14,15,16,18,22,23,24,26	871
T16.2	16	0,1,3,6,8,9,10,12,14,16,18,19,21,22,25,26	878
T16.3	16	2,3,4,5,8,10,12,15,16,17,20,21,22,23,25,26	911
T16.4	16	0,2,3,4,6,7,8,12,16,17,18,19,21,22,24,26	887
T16.5	16	0,1,2,6,7,8,9,10,13,15,17,20,21,23,25,26	894
T16.6	16	0,1,4,5,6,11,13,14,15,16,17,20,21,22,25,26	794
T16.7	16	1,3,4,5,8,10,11,12,14,15,20,21,22,24,25,26	903
T16.8	16	0,1,2,3,4,6,8,10,11,13,14,15,19,22,23,24	871
T16.9	16	0,1,3,5,7,8,9,10,11,12,17,18,19,20,22,25	983
T16.10	16	0,1,4,7,9,10,11,12,15,16,17,18,20,21,23,25	733
T16.11	16	0,4,5,6,7,8,10,12,13,15,17,20,22,23,24,26	945
T16.12	16	0,1,2,3,5,7,8,11,15,16,19,20,21,24,25,26	953
T16.13	16	0,1,2,3,4,5,6,9,10,13,16,18,19,21,25,26	887
T16.14	16	0,2,3,4,5,7,8,9,12,13,16,17,19,20,25,26	960
T16.15	16	0,3,4,5,6,9,11,13,14,15,16,17,18,22,23,24	905
T16.16	16	0,2,3,4,5,9,11,12,13,14,15,18,19,20,22,24	902
T16.17	16	0,1,3,8,10,13,14,15,16,17,18,19,20,22,24,25	836
T16.18	16	0,1,2,3,4,5,7,11,12,14,15,18,20,23,25,26	867
T16.19	16	0,3,4,6,7,9,11,12,14,15,16,17,19,23,25,26	848
T16.20	16	1,2,6,7,8,9,10,11,13,15,16,17,19,21,22,24	883
T16.21	16	0,2,6,9,11,12,13,15,16,17,18,19,20,21,22,25	769
T16.22	16	0,1,2,4,5,6,8,10,11,13,14,16,18,19,24,25	926
T16.23	16	0,3,8,9,10,11,12,13,14,15,16,18,20,23,24,26	904
T16.24	16	0,1,2,3,4,6,9,11,12,17,18,19,21,23,24,26	819
T16.25	16	4,5,6,8,10,11,15,18,19,20,21,22,23,24,25,26	919
T16.26	16	0,5,6,7,8,9,14,15,16,17,18,20,21,24,25,26	982
T16.27	16	0,2,3,5,6,7,9,12,14,16,18,19,20,23,24,26	957
T16.28	16	0,2,4,5,6,11,12,15,16,17,18,19,21,22,24,26	856
T16.29	16	0,3,8,10,11,12,13,15,17,19,20,21,22,23,25,26	827
T16.30	16	2,4,5,6,7,12,13,15,16,18,19,20,21,22,24,26	889
T16.31	16	0,1,2,4,5,9,12,14,15,16,17,20,21,23,25,26	831
T16.32	16	0,1,2,3,4,5,9,10,14,15,17,18,20,21,22,25	849
T16.33	16	0,3,4,9,10,11,12,13,15,17,20,21,22,24,25,26	651
T16.34	16	1,4,5,6,9,11,13,15,16,17,18,21,22,23,24,26	868
T16.35	16	2,3,5,8,9,10,12,13,14,15,16,17,18,19,21,23	963
T16.36	16	0,3,6,7,10,11,12,14,16,17,18,19,20,21,22,24	800
T16.37	16	1,4,5,7,11,12,13,14,16,17,19,21,22,23,25,26	840
T16.38	16	0,1,2,3,4,5,8,13,15,17,18,19,20,23,24,26	944
T16.39	16	5,6,7,8,10,11,13,14,15,16,19,20,21,22,23,25	947
T16.40	16	1,5,8,9,10,12,14,15,16,17,18,19,20,24,25,26	930
T16.41	16	1,2,3,4,6,7,10,11,12,17,19,20,22,24,25,26	753
T16.42	16	0,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25	937
T16.43	16	0,2,3,6,7,8,9,13,15,16,18,19,20,22,24,26	908
T16.44	16	0,1,2,3,6,7,10,11,12,15,18,19,21,22,25,26	773
T16.45	16	1,4,6,9,10,12,13,14,15,16,18,19,21,22,24,26	765
T16.46	16	0,1,2,3,4,6,7,8,12,17,18,20,21,22,24,26	881
T16.47	16	0,2,5,8,9,10,11,12,13,15,17,19,20,22,24,26	915
T16.48	16	0,1,3,5,7,9,10,11,14,15,17,19,20,21,23,25	906
T16.49	16	1,2,4,5,6,7,9,10,13,16,17,18,21,24,25,26	898
T16.50	16	0,1,2,3,4,7,10,11,12,13,16,18,20,22,24,25	682
T16.51	16	2,3,4,5,6,7,9,11,13,14,16,17,20,21,22,25	904
T16.52	16	1,2,5,6,7,8,9,10,11,13,14,20,21,22,24,25	973
T16.53	16	0,1,2,3,5,6,8,9,10,12,17,19,20,21,23,26	940
T16.54	16	2,3,4,5,6,9,10,11,13,14,17,18,21,22,23,26	900
T16.55	16	0,1,2,3,6,7,8,10,11,12,15,16,19,20,25,26	869
T16.56	16	0,2,4,7,8,9,10,11,12,18,19,20,21,23,25,26	907
T16.57	16	2,6,8,9,10,15,16,17,18,19,21,22,23,24,25,26	873
T16.58	16	0,1,2,4,5,7,8,9,11,12,14,15,19,21,24,26	962
T16.59	16	3,4,6,9,10,11,12,13,14,15,16,17,20,21,23,26	749
T16.60	16	2,5,7,8,9,11,12,14,15,16,17,18,19,20,22,23	989
T16.61	16	0,1,2,4,5,6,9,11,12,13,16,17,21,23,24,26	866
T16.62	16	2,3,5,6,7,8,9,11,12,13,14,16,18,21,23,25	1006
T16.63	16	0,2,3,5,9,10,11,13,14,15,16,17,19,20,25,26	843
T16.64	16	0,2,3,4,5,8,9,11,12,16,17,18,20,22,23,25	971
T16.65	16	0,1,5,6,7,8,9,13,14,15,18,19,20,22,24,25	984
T16.66	16	0,1,3,4,8,9,10,12,13,14,16,17,21,22,23,26	867
T16.67	16	1,2,3,4,5,7,8,11,14,17,18,19,22,23,24,26	987
T16.68	16	0,1,2,3,7,9,10,12,16,17,18,21,22,23,24,26	766
T16.69	16	0,1,3,4,6,7,9,10,12,13,16,17,18,19,23,26	845
T16.70	16	0,1,4,5,6,7,10,11,13,14,16,17,19,21,23,25	881
T16.71	16	1,4,5,6,7,11,12,13,14,15,18,19,21,22,23,25	880
T16.72	16	0,1,4,6,9,10,12,15,16,17,19,20,21,24,25,26	708
T16.73	16	0,1,4,5,10,11,12,13,14,15,18,19,21,22,25,26	817
T16.74	16	0,1,2,3,4,6,7,8,9,10,11,15,17,21,22,24	903
T16.75	16	0,3,4,7,9,10,11,12,13,15,17,18,19,20,21,22	771
T16.76	16	1,2,3,6,9,10,11,12,15,16,17,18,19,21,22,24	785
T16.77	16	0,2,3,5,6,8,10,11,12,14,15,16,17,18,19,26	951
T16.78	16	0,1,5,6,7,9,10,11,13,14,15,16,20,22,23,26	900
T16.79	16	2,7,9,11,12,14,15,16,17,18,21,22,23,24,25,26	742
T16.80	16	0,1,2,3,4,7,8,10,11,12,13,14,15,19,21,23	895
T16.81	16	1,3,6,7,8,9,10,11,12,16,19,21,22,23,24,25	924
T16.82	16	0,1,2,3,4,5,7,10,15,16,20,21,22,23,24,26	856
T16.83	16	0,2,4,6,9,12,13,14,16,17,18,19,21,22,24,26	795
T16.84	16	0,1,3,4,6,7,8,13,14,15,17,18,19,22,25,26	890
T16.85	16	1,3,4,5,6,9,11,12,15,17,18,19,22,24,25,26	900
T16.86	16	0,1,5,6,7,8,10,11,12,14,17,18,19,20,24,25	958
T16.87	16	0,1,2,3,4,7,8,9,12,13,14,16,19,20,25,26	880
T16.88	16	0,1,2,4,5,9,11,13,15,16,17,18,20,24,25,26	847
T16.89	16	1,2,4,6,7,10,11,12,13,14,15,17,18,23,25,26	711
T16.90	16	0,2,4,5,6,7,9,11,13,17,19,20,21,22,25,26	916
T16.91	16	0,1,3,4,5,7,10,11,14,15,17,19,20,22,23,24	895
T16.92	16	1,3,4,6,8,9,10,11,13,14,16,17,18,20,23,24	912
T16.93	16	0,1,3,4,5,7,8,11,13,14,19,21,22,23,24,26	969
T16.94	16	1,2,3,5,6,7,8,11,12,14,15,16,19,21,23,24	976
T16.95	16	0,2,3,5,6,8,9,14,15,17,18,19,21,23,24,26	972
T16.96	16	2,3,7,8,9,10,13,15,16,17,19,20,22,24,25,26	864
T16.97	16	0,1,2,4,5,6,7,12,14,18,19,20,21,22,23,26	907
T16.98	16	0,1,2,5,6,8,10,12,13,14,16,18,19,21,24,26	920
T16.99	16	0,2,3,4,6,7,9,10,14,15,18,19,21,22,25,26	833
T16.100	16	1,2,5,6,8,9,10,12,14,17,18,19,20,21,25,26	943
T18.1	18	0,1,2,4,5,7,9,10,11,12,14,15,16,18,22,23,24,26	908
T18.2	18	0,1,3,6,8,9,10,12,14,15,16,18,19,21,22,24,25,26	884
T18.3	18	1,2,3,4,5,8,10,12,15,16,17,18,20,21,22,23,25,26	945
T18.4	18	0,2,3,4,6,7,8,10,12,15,16,17,18,19,21,22,24,26	891
T18.5	18	0,1,2,6,7,8,9,10,13,14,15,17,20,21,22,23,25,26	920
T18.6	18	0,1,2,4,5,6,9,11,13,14,15,16,17,20,21,22,25,26	854
T18.7	18	1,3,4,5,8,10,11,12,14,15,18,19,20,21,22,24,25,26	934
T18.8	18	0,1,2,3,4,6,8,9,10,11,13,14,15,19,22,23,24,26	897
T18.9	18	0,1,3,5,7,8,9,10,11,12,17,18,19,20,22,23,24,25	1003
T18.10	18	0,1,4,6,7,8,9,10,11,12,15,16,17,18,20,21,23,25	928
T18.11	18	0,2,4,5,6,7,8,10,12,13,15,17,19,20,22,23,24,26	959
T18.12	18	0,1,2,3,5,6,7,8,9,11,15,16,19,20,21,24,25,26	978
T18.13	18	0,1,2,3,4,5,6,9,10,13,16,18,19,20,21,24,25,26	894
T18.14	18	0,2,3,4,5,7,8,9,10,12,13,15,16,17,19,20,25,26	961
T18.15	18	0,3,4,5,6,7,9,11,13,14,15,16,17,18,20,22,23,24	939
T18.16	18	0,1,2,3,4,5,9,11,12,13,14,15,17,18,19,20,22,24	905
T18.17	18	0,1,3,6,8,9,10,13,14,15,16,17,18,19,20,22,24,25	884
T18.18	18	0,1,2,3,4,5,6,7,9,11,12,14,15,18,20,23,25,26	931
T18.19	18	0,3,4,6,7,9,11,12,13,14,15,16,17,19,21,23,25,26	854
T18.20	18	1,2,6,7,8,9,10,11,13,15,16,17,19,21,22,23,24,25	914
T18.21	18	0,2,4,6,9,11,12,13,14,15,16,17,18,19,20,21,22,25	803
T18.22	18	0,1,2,4,5,6,8,9,10,11,13,14,16,18,19,24,25,26	952
T18.23	18	0,1,3,7,8,9,10,11,12,13,14,15,16,18,20,23,24,26	940
T18.24	18	0,1,2,3,4,6,9,11,12,16,17,18,19,21,23,24,25,26	828
T18.25	18	2,4,5,6,8,10,11,14,15,18,19,20,21,22,23,24,25,26	943
T18.26	18	0,5,6,7,8,9,11,14,15,16,17,18,19,20,21,24,25,26	986
T18.27	18	0,2,3,5,6,7,8,9,11,12,14,16,18,19,20,23,24,26	1012
T18.28	18	0,2,4,5,6,7,11,12,14,15,16,17,18,19,21,22,24,26	904
T18.29	18	0,2,3,4,8,10,11,12,13,15,17,19,20,21,22,23,25,26	842
T18.30	18	2,4,5,6,7,11,12,13,14,15,16,18,19,20,21,22,24,26	902
T18.31	18	0,1,2,4,5,6,9,11,12,14,15,16,17,20,21,23,25,26	874
T18.32	18	0,1,2,3,4,5,8,9,10,13,14,15,17,18,20,21,22,25	953
T18.33	18	0,1,2,3,4,9,10,11,12,13,15,17,20,21,22,24,25,26	664
T18.34	18	1,4,5,6,9,10,11,13,15,16,17,18,19,21,22,23,24,26	899
T18.35	18	2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,21,23	969
T18.36	18	0,3,5,6,7,8,10,11,12,14,16,17,18,19,20,21,22,24	987
T18.37	18	1,2,4,5,7,11,12,13,14,16,17,19,21,22,23,24,25,26	880
T18.38	18	0,1,2,3,4,5,8,12,13,15,17,18,19,20,22,23,24,26	955
T18.39	18	5,6,7,8,10,11,13,14,15,16,17,19,20,21,22,23,25,26	950
T18.40	18	1,5,6,8,9,10,12,13,14,15,16,17,18,19,20,24,25,26	942
T18.41	18	1,2,3,4,6,7,10,11,12,13,17,19,20,21,22,24,25,26	763
T18.42	18	0,1,5,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25	1001
T18.43	18	0,2,3,6,7,8,9,13,15,16,18,19,20,21,22,23,24,26	945
T18.44	18	0,1,2,3,6,7,9,10,11,12,15,18,19,21,22,24,25,26	834
T18.45	18	1,4,6,8,9,10,12,13,14,15,16,18,19,20,21,22,24,26	866
T18.46	18	0,1,2,3,4,6,7,8,11,12,13,17,18,20,21,22,24,26	899
T18.47	18	0,2,3,5,8,9,10,11,12,13,15,17,19,20,22,23,24,26	951
T18.48	18	0,1,3,4,5,7,9,10,11,13,14,15,17,19,20,21,23,25	911
T18.49	18	1,2,4,5,6,7,8,9,10,12,13,16,17,18,21,24,25,26	974
T18.50	18	0,1,2,3,4,6,7,10,11,12,13,16,18,20,21,22,24,25	744
T18.51	18	2,3,4,5,6,7,9,11,13,14,15,16,17,19,20,21,22,25	930
T18.52	18	1,2,5,6,7,8,9,10,11,13,14,16,20,21,22,23,24,25	986
T18.53	18	0,1,2,3,5,6,8,9,10,12,13,14,17,19,20,21,23,26	953
T18.54	18	0,2,3,4,5,6,9,10,11,13,14,17,18,21,22,23,25,26	908
T18.55	18	0,1,2,3,6,7,8,10,11,12,14,15,16,19,20,21,25,26	892
T18.56	18	0,2,4,7,8,9,10,11,12,17,18,19,20,21,22,23,25,26	915
T18.57	18	2,4,6,8,9,10,12,15,16,17,18,19,21,22,23,24,25,26	886
T18.58	18	0,1,2,4,5,6,7,8,9,11,12,14,15,19,21,23,24,26	985
T18.59	18	0,3,4,5,6,9,10,11,12,13,14,15,16,17,20,21,23,26	882
T18.60	18	2,5,7,8,9,11,12,14,15,16,17,18,19,20,22,23,24,26	994
T18.61	18	0,1,2,4,5,6,8,9,11,12,13,16,17,20,21,23,24,26	945
T18.62	18	2,3,5,6,7,8,9,11,12,13,14,15,16,18,21,22,23,25	1010
T18.63	18	0,2,3,4,5,7,9,10,11,13,14,15,16,17,19,20,25,26	909
T18.64	18	0,2,3,4,5,8,9,11,12,15,16,17,18,20,22,23,25,26	971
T18.65	18	0,1,3,5,6,7,8,9,13,14,15,18,19,20,21,22,24,25	998
T18.66	18	0,1,3,4,8,9,10,11,12,13,14,16,17,19,21,22,23,26	885
T18.67	18	0,1,2,3,4,5,6,7,8,11,14,17,18,19,22,23,24,26	1002
T18.68	18	0,1,2,3,6,7,9,10,12,14,16,17,18,21,22,23,24,26	831
T18.69	18	0,1,2,3,4,5,6,7,9,10,12,13,16,17,18,19,23,26	954
T18.70	18	0,1,4,5,6,7,10,11,13,14,15,16,17,18,19,21,23,25	898
T18.71	18	0,1,4,5,6,7,9,11,12,13,14,15,18,19,21,22,23,25	941
T18.72	18	0,1,4,6,7,9,10,11,12,15,16,17,19,20,21,24,25,26	795
T18.73	18	0,1,3,4,5,10,11,12,13,14,15,18,19,21,22,24,25,26	865
T18.74	18	0,1,2,3,4,6,7,8,9,10,11,15,17,18,21,22,24,25	925
T18.75	18	0,1,3,4,7,9,10,11,12,13,15,17,18,19,20,21,22,23	800
T18.76	18	1,2,3,5,6,9,10,11,12,15,16,17,18,19,20,21,22,24	907
T18.77	18	0,2,3,5,6,8,10,11,12,13,14,15,16,17,18,19,23,26	971
T18.78	18	0,1,5,6,7,9,10,11,13,14,15,16,17,20,22,23,25,26	905
T18.79	18	2,7,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,26	760
T18.80	18	0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,19,21,23	982
T18.81	18	1,3,6,7,8,9,10,11,12,15,16,19,20,21,22,23,24,25	926
T18.82	18	0,1,2,3,4,5,7,8,10,13,15,16,20,21,22,23,24,26	965
T18.83	18	0,2,4,5,6,9,11,12,13,14,16,17,18,19,21,22,24,26	912
T18.84	18	0,1,2,3,4,6,7,8,11,13,14,15,17,18,19,22,25,26	909
T18.85	18	1,3,4,5,6,7,9,11,12,13,15,17,18,19,22,24,25,26	941
T18.86	18	0,1,2,5,6,7,8,10,11,12,14,17,18,19,20,22,24,25	972
T18.87	18	0,1,2,3,4,7,8,9,12,13,14,16,17,18,19,20,25,26	914
T18.88	18	0,1,2,4,5,9,10,11,13,15,16,17,18,20,23,24,25,26	867
T18.89	18	1,2,4,6,7,8,9,10,11,12,13,14,15,17,18,23,25,26	924
T18.90	18	0,2,4,5,6,7,9,11,13,17,18,19,20,21,22,24,25,26	940
T18.91	18	0,1,3,4,5,7,10,11,13,14,15,17,18,19,20,22,23,24	915
T18.92	18	1,3,4,6,8,9,10,11,13,14,16,17,18,20,21,23,24,25	918
T18.93	18	0,1,3,4,5,7,8,9,11,13,14,17,19,21,22,23,24,26	992
T18.94	18	1,2,3,4,5,6,7,8,11,12,14,15,16,19,21,23,24,26	976
T18.95	18	0,2,3,5,6,8,9,11,14,15,17,18,19,21,23,24,25,26	978
T18.96	18	2,3,7,8,9,10,13,14,15,16,17,18,19,20,22,24,25,26	915
T18.97	18	0,1,2,4,5,6,7,9,12,14,15,18,19,20,21,22,23,26	944
T18.98	18	0,1,2,4,5,6,8,10,12,13,14,16,18,19,21,22,24,26	929
T18.99	18	0,2,3,4,6,7,8,9,10,14,15,18,19,21,22,24,25,26	928
T18.100	18	1,2,5,6,8,9,10,12,14,16,17,18,19,20,21,23,25,26	962
T20.1	20	0,1,2,4,5,7,9,10,11,12,13,14,15,16,18,20,22,23,24,26	914
T20.2	20	0,1,3,5,6,8,9,10,12,13,14,15,16,18,19,21,22,24,25,26	962
T20.3	20	1,2,3,4,5,8,10,11,12,15,16,17,18,19,20,21,22,23,25,26	950
T20.4	20	0,2,3,4,5,6,7,8,10,12,13,15,16,17,18,19,21,22,24,26	985
T20.5	20	0,1,2,5,6,7,8,9,10,13,14,15,17,18,20,21,22,23,25,26	1002
T20.6	20	0,1,2,4,5,6,9,11,13,14,15,16,17,19,20,21,22,23,25,26	899
T20.7	20	0,1,2,3,4,5,8,10,11,12,14,15,18,19,20,21,22,24,25,26	950
T20.8	20	0,1,2,3,4,6,8,9,10,11,13,14,15,18,19,20,22,23,24,26	924
T20.9	20	0,1,3,5,7,8,9,10,11,12,17,18,19,20,21,22,23,24,25,26	1003
T20.10	20	0,1,2,4,6,7,8,9,10,11,12,14,15,16,17,18,20,21,23,25	945
T20.11	20	0,2,4,5,6,7,8,9,10,12,13,15,16,17,19,20,22,23,24,26	983
T20.12	20	0,1,2,3,5,6,7,8,9,11,13,15,16,19,20,21,23,24,25,26	995
T20.13	20	0,1,2,3,4,5,6,8,9,10,13,14,16,18,19,20,21,24,25,26	961
T20.14	20	0,1,2,3,4,5,7,8,9,10,12,13,14,15,16,17,19,20,25,26	971
T20.15	20	0,2,3,4,5,6,7,9,11,13,14,15,16,17,18,19,20,22,23,24	968
T20.16	20	0,1,2,3,4,5,6,8,9,11,12,13,14,15,17,18,19,20,22,24	977
T20.17	20	0,1,3,4,6,8,9,10,12,13,14,15,16,17,18,19,20,22,24,25	895
T20.18	20	0,1,2,3,4,5,6,7,9,11,12,14,15,17,18,20,21,23,25,26	935
T20.19	20	0,3,4,6,7,9,11,12,13,14,15,16,17,19,21,22,23,24,25,26	866
T20.20	20	1,2,5,6,7,8,9,10,11,13,15,16,17,19,20,21,22,23,24,25	985
T20.21	20	0,2,4,6,9,11,12,13,14,15,16,17,18,19,20,21,22,23,25,26	837
T20.22	20	0,1,2,4,5,6,8,9,10,11,13,14,16,17,18,19,22,24,25,26	959
T20.23	20	0,1,3,4,7,8,9,10,11,12,13,14,15,16,18,20,21,23,24,26	943
T20.24	20	0,1,2,3,4,6,9,10,11,12,15,16,17,18,19,21,23,24,25,26	837
T20.25	20	2,4,5,6,8,10,11,12,14,15,17,18,19,20,21,22,23,24,25,26	950
T20.26	20	0,1,2,5,6,7,8,9,11,14,15,16,17,18,19,20,21,24,25,26	992
T20.27	20	0,2,3,5,6,7,8,9,10,11,12,14,15,16,18,19,20,23,24,26	1012
T20.28	20	0,1,2,4,5,6,7,11,12,14,15,16,17,18,19,21,22,24,25,26	906
T20.29	20	0,2,3,4,5,6,8,10,11,12,13,15,17,19,20,21,22,23,25,26	947
T20.30	20	2,3,4,5,6,7,11,12,13,14,15,16,17,18,19,20,21,22,24,26	928
T20.31	20	0,1,2,4,5,6,9,11,12,13,14,15,16,17,20,21,22,23,25,26	882
T20.32	20	0,1,2,3,4,5,7,8,9,10,11,13,14,15,17,18,20,21,22,25	993
T20.33	20	0,1,2,3,4,8,9,10,11,12,13,14,15,17,20,21,22,24,25,26	857
T20.34	20	1,4,5,6,8,9,10,11,13,15,16,17,18,19,21,22,23,24,25,26	954
T20.35	20	1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,21,23,25	970
T20.36	20	0,3,5,6,7,8,9,10,11,12,14,16,17,18,19,20,21,22,24,25	1004
T20.37	20	0,1,2,4,5,7,11,12,13,14,15,16,17,19,21,22,23,24,25,26	891
T20.38	20	0,1,2,3,4,5,8,12,13,14,15,17,18,19,20,21,22,23,24,26	965
T20.39	20	0,5,6,7,8,10,11,12,13,14,15,16,17,19,20,21,22,23,25,26	959
T20.40	20	1,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,24,25,26	983
T20.41	20	1,2,3,4,6,7,10,11,12,13,15,17,19,20,21,22,23,24,25,26	799
T20.42	20	0,1,3,5,6,7,8,9,10,13,14,16,17,18,20,22,23,24,25,26	1014
T20.43	20	0,2,3,5,6,7,8,9,10,13,15,16,18,19,20,21,22,23,24,26	1008
T20.44	20	0,1,2,3,4,6,7,9,10,11,12,15,18,19,20,21,22,24,25,26	839
T20.45	20	1,2,3,4,6,8,9,10,12,13,14,15,16,18,19,20,21,22,24,26	890
T20.46	20	0,1,2,3,4,6,7,8,9,11,12,13,17,18,19,20,21,22,24,26	930
T20.47	20	0,2,3,5,8,9,10,11,12,13,14,15,17,19,20,22,23,24,25,26	961
T20.48	20	0,1,3,4,5,6,7,9,10,11,13,14,15,17,19,20,21,23,25,26	940
T20.49	20	0,1,2,4,5,6,7,8,9,10,12,13,15,16,17,18,21,24,25,26	982
T20.50	20	0,1,2,3,4,6,7,10,11,12,13,15,16,17,18,20,21,22,24,25	758
T20.51	20	2,3,4,5,6,7,9,11,13,14,15,16,17,19,20,21,22,23,24,25	950
T20.52	20	1,2,5,6,7,8,9,10,11,12,13,14,15,16,20,21,22,23,24,25	987
T20.53	20	0,1,2,3,5,6,8,9,10,12,13,14,17,18,19,20,21,22,23,26	986
T20.54	20	0,2,3,4,5,6,8,9,10,11,13,14,17,18,20,21,22,23,25,26	987
T20.55	20	0,1,2,3,4,6,7,8,10,11,12,13,14,15,16,19,20,21,25,26	895
T20.56	20	0,2,3,4,7,8,9,10,11,12,15,17,18,19,20,21,22,23,25,26	932
T20.57	20	2,3,4,6,8,9,10,12,15,16,17,18,19,20,21,22,23,24,25,26	910
T20.58	20	0,1,2,3,4,5,6,7,8,9,11,12,14,15,19,21,22,23,24,26	1002
T20.59	20	0,3,4,5,6,7,9,10,11,12,13,14,15,16,17,20,21,23,25,26	919
T20.60	20	2,5,7,8,9,11,12,13,14,15,16,17,18,19,20,22,23,24,25,26	997
T20.61	20	0,1,2,4,5,6,7,8,9,11,12,13,16,17,20,21,22,23,24,26	988
T20.62	20	2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,21,22,23,25	1010
T20.63	20	0,2,3,4,5,7,9,10,11,13,14,15,16,17,18,19,20,21,25,26	927
